Serial No.,Timestamp (yyyy-MM-dd HH:mm:ss.SSS),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
80,2026-02-19 12:47:01.534,1.54305,5.98395,7.8840003,0.1390125,-0.1508375,-0.3014
81,2026-02-19 12:47:01.558,1.572,5.9599504,7.6660504,0.1390125,-0.1508375,-0.3014
82,2026-02-19 12:47:01.559,1.4830501,6.02895,7.596,0.1390125,-0.1508375,-0.3014
83,2026-02-19 12:47:01.580,1.43505,6.0750003,7.9459505,0.1390125,-0.1508375,-0.3014
84,2026-02-19 12:47:01.581,1.488,6.1080003,8.401051,0.1390125,-0.1508375,-0.3014
85,2026-02-19 12:47:01.581,1.50495,6.0820503,8.635051,0.1390125,-0.1508375,-0.3014
86,2026-02-19 12:47:01.582,1.50495,6.0820503,8.635051,0.078375,-0.0614625,-0.1375
87,2026-02-19 12:47:01.634,1.608,5.9670005,8.665951,0.078375,-0.0614625,-0.1375
88,2026-02-19 12:47:01.636,1.8540001,5.8950005,8.475,0.078375,-0.0614625,-0.1375
89,2026-02-19 12:47:01.636,1.9950001,5.907,8.238,0.078375,-0.0614625,-0.1375
90,2026-02-19 12:47:01.637,1.95,6.0319505,8.137051,0.078375,-0.0614625,-0.1375
91,2026-02-19 12:47:01.638,1.84905,6.1420503,8.092051,0.078375,-0.0614625,-0.1375
92,2026-02-19 12:47:01.663,1.7850001,6.216,8.06295,0.078375,-0.0614625,-0.1375
93,2026-02-19 12:47:01.664,1.84695,6.3100505,7.9410005,0.078375,-0.0614625,-0.1375
94,2026-02-19 12:47:01.665,1.9450501,6.4680004,7.761,0.078375,-0.0614625,-0.1375
95,2026-02-19 12:47:01.666,1.9450501,6.4680004,7.761,0.0900625,-0.0444125,-0.13213749
96,2026-02-19 12:47:01.697,1.9380001,6.5560503,7.5649505,0.0900625,-0.0444125,-0.13213749
97,2026-02-19 12:47:01.698,1.797,6.5680504,7.3950005,0.0900625,-0.0444125,-0.13213749
98,2026-02-19 12:47:01.699,1.55505,6.5940003,7.3639503,0.0900625,-0.0444125,-0.13213749
99,2026-02-19 12:47:01.720,1.332,6.6660004,7.49805,0.0900625,-0.0444125,-0.13213749
100,2026-02-19 12:47:01.721,1.16205,6.7570505,7.668,0.0900625,-0.0444125,-0.13213749
101,2026-02-19 12:47:01.733,1.04505,6.7960505,7.8360004,0.0900625,-0.0444125,-0.13213749
102,2026-02-19 12:47:01.749,1.04505,6.7960505,7.9030504,0.0900625,-0.0444125,-0.13213749
103,2026-02-19 12:47:01.750,1.1209501,6.74805,7.8120003,0.0900625,-0.0444125,-0.13213749
104,2026-02-19 12:47:01.750,1.1209501,6.74805,7.8120003,-0.1419,-0.2190375,-0.1172875
105,2026-02-19 12:47:01.802,1.27005,6.7570505,7.5000005,-0.1419,-0.2190375,-0.1172875
106,2026-02-19 12:47:01.803,1.39005,6.76695,7.00995,-0.1419,-0.2190375,-0.1172875
107,2026-02-19 12:47:01.804,1.4610001,6.6139503,6.8040004,-0.1419,-0.2190375,-0.1172875
108,2026-02-19 12:47:01.804,1.5880501,6.3790503,6.7630506,-0.1419,-0.2190375,-0.1172875
109,2026-02-19 12:47:01.805,1.67505,6.22305,6.80595,-0.1419,-0.2190375,-0.1172875
110,2026-02-19 12:47:01.823,1.6480501,6.1849504,7.1050506,-0.1419,-0.2190375,-0.1172875
111,2026-02-19 12:47:01.824,1.5139501,6.144,7.5220504,-0.1419,-0.2190375,-0.1172875
112,2026-02-19 12:47:01.825,1.41795,6.0870004,7.8600006,-0.1419,-0.2190375,-0.1172875
113,2026-02-19 12:47:01.825,1.41795,6.0870004,7.8600006,0.2454375,0.341825,-0.3375625
114,2026-02-19 12:47:01.882,1.335,6.0940504,8.142,0.2454375,0.341825,-0.3375625
115,2026-02-19 12:47:01.884,1.3249501,6.0220504,8.41005,0.2454375,0.341825,-0.3375625
116,2026-02-19 12:47:01.885,1.31805,5.9890504,8.446051,0.2454375,0.341825,-0.3375625
117,2026-02-19 12:47:01.885,1.2409501,6.0799503,8.236051,0.2454375,0.341825,-0.3375625
118,2026-02-19 12:47:01.886,1.09305,6.2260504,7.9219503,0.2454375,0.341825,-0.3375625
119,2026-02-19 12:47:01.898,0.92295,6.3619504,7.59105,0.2454375,0.341825,-0.3375625
120,2026-02-19 12:47:01.899,0.81705004,6.4170003,7.3330503,0.2454375,0.341825,-0.3375625
121,2026-02-19 12:47:01.904,0.73395,6.4960504,7.1580005,0.2454375,0.341825,-0.3375625
122,2026-02-19 12:47:01.905,0.73395,6.4960504,7.1580005,0.469975,-0.0924,-0.38225
123,2026-02-19 12:47:01.932,0.65505004,6.4890003,7.017,0.469975,-0.0924,-0.38225
124,2026-02-19 12:47:01.933,0.66405004,6.3739505,6.94995,0.469975,-0.0924,-0.38225
125,2026-02-19 12:47:01.962,0.74295,6.3120003,6.8539505,0.469975,-0.0924,-0.38225
126,2026-02-19 12:47:01.963,0.79095006,6.3240004,6.7510505,0.469975,-0.0924,-0.38225
127,2026-02-19 12:47:01.964,0.78900003,6.30705,6.8089504,0.469975,-0.0924,-0.38225
128,2026-02-19 12:47:01.986,0.70995003,6.1920004,6.87795,0.469975,-0.0924,-0.38225
129,2026-02-19 12:47:01.987,0.64995,6.1969504,6.8110504,0.469975,-0.0924,-0.38225
130,2026-02-19 12:47:01.988,0.67095006,6.22095,6.6910505,0.469975,-0.0924,-0.38225
131,2026-02-19 12:47:01.989,0.67095006,6.22095,6.6910505,0.1827375,-0.131725,0.001925
132,2026-02-19 12:47:02.032,0.786,6.2590504,6.6120005,0.1827375,-0.131725,0.001925
133,2026-02-19 12:47:02.033,0.91095006,6.3,6.5950503,0.1827375,-0.131725,0.001925
134,2026-02-19 12:47:02.034,0.99495006,6.1969504,6.5190005,0.1827375,-0.131725,0.001925
135,2026-02-19 12:47:02.035,0.96105003,6.0610504,6.5329504,0.1827375,-0.131725,0.001925
136,2026-02-19 12:47:02.049,0.87195003,5.9479504,6.7099504,0.1827375,-0.131725,0.001925
137,2026-02-19 12:47:02.066,0.83400005,5.8830004,7.0020003,0.1827375,-0.131725,0.001925
138,2026-02-19 12:47:02.067,0.80100006,5.8279505,7.31895,0.1827375,-0.131725,0.001925
139,2026-02-19 12:47:02.068,0.74805003,5.73705,7.5679502,0.1827375,-0.131725,0.001925
140,2026-02-19 12:47:02.069,0.74805003,5.73705,7.5679502,-0.182325,-0.07425,0.20735
141,2026-02-19 12:47:02.097,0.73605,5.58195,7.8450003,-0.182325,-0.07425,0.20735
142,2026-02-19 12:47:02.098,0.78900003,5.47905,8.06595,-0.182325,-0.07425,0.20735
143,2026-02-19 12:47:02.124,0.84105,5.5459504,8.146951,-0.182325,-0.07425,0.20735
144,2026-02-19 12:47:02.125,0.87705004,5.68695,8.125051,-0.182325,-0.07425,0.20735
145,2026-02-19 12:47:02.125,0.89595,5.8690505,7.9480505,-0.182325,-0.07425,0.20735
146,2026-02-19 12:47:02.130,0.98505,6.0340505,7.563,-0.182325,-0.07425,0.20735
147,2026-02-19 12:47:02.148,1.1380501,6.1780505,7.017,-0.182325,-0.07425,0.20735
148,2026-02-19 12:47:02.149,1.26795,6.23295,6.5790005,-0.182325,-0.07425,0.20735
149,2026-02-19 12:47:02.149,1.26795,6.23295,6.5790005,0.2050125,-0.30195,0.1945625
150,2026-02-19 12:47:02.206,1.368,6.2310004,6.306,0.2050125,-0.30195,0.1945625
151,2026-02-19 12:47:02.208,1.44,6.1729503,6.2080503,0.2050125,-0.30195,0.1945625
152,2026-02-19 12:47:02.209,1.50705,6.1920004,6.32205,0.2050125,-0.30195,0.1945625
153,2026-02-19 12:47:02.210,1.5259501,6.2419505,6.6670504,0.2050125,-0.30195,0.1945625
154,2026-02-19 12:47:02.211,1.45395,6.1990504,7.01205,0.2050125,-0.30195,0.1945625
